val_loss,val_accuracy,hamming_dist,epoch,step,train_loss
0.002023688517510891,0.9185454249382019,0.08145467936992645,0,189,
,,,0,189,0.002053510397672653
0.0020131587516516447,0.9209897518157959,0.07901015132665634,1,379,
,,,1,379,0.002017170423641801
0.002022702945396304,0.9175366759300232,0.08246354013681412,2,569,
,,,2,569,0.0020165471360087395
0.0020443706307560205,0.8997265696525574,0.10027353465557098,3,759,
,,,3,759,0.002014427212998271
0.002013369696214795,0.9178467392921448,0.08215311914682388,4,949,
,,,4,949,0.0020160325802862644
0.0020088497549295425,0.9197287559509277,0.08027122169733047,5,1139,
,,,5,1139,0.002013622550293803
0.0020124667789787054,0.9076031446456909,0.0923967957496643,6,1329,
,,,6,1329,0.002016038168221712
0.002011012751609087,0.9207473993301392,0.07925266772508621,7,1519,
,,,7,1519,0.0020137494429945946
0.0020148756448179483,0.9201456308364868,0.0798541009426117,8,1709,
,,,8,1709,0.002014088910073042
0.002008651150390506,0.9130256175994873,0.08697421848773956,9,1899,
,,,9,1899,0.0020132921636104584
0.0020130316261202097,0.9222315549850464,0.07776850461959839,10,2089,
,,,10,2089,0.0020123724825680256
0.002009238349273801,0.917197048664093,0.08280304819345474,11,2279,
,,,11,2279,0.0020125936716794968
0.0020199930295348167,0.9096693992614746,0.0903305932879448,12,2469,
,,,12,2469,0.002013837918639183
0.0020432001911103725,0.8511467576026917,0.14885340631008148,13,2659,
,,,13,2659,0.0020159014966338873
0.0020133887883275747,0.9132586717605591,0.08674142509698868,14,2849,
,,,14,2849,0.002023697830736637
0.0020197287667542696,0.913074254989624,0.08692573010921478,15,3039,
,,,15,3039,0.0020126516465097666
0.0020156644750386477,0.9182154536247253,0.08178447932004929,16,3229,
,,,16,3229,0.0020140435080975294
0.0020093186758458614,0.916634202003479,0.08336566388607025,17,3419,
,,,17,3419,0.002011836040765047
0.002008839976042509,0.9139666557312012,0.08603327721357346,18,3609,
,,,18,3609,0.0020136230159550905
0.0020076956134289503,0.9179729223251343,0.08202701061964035,19,3799,
,,,19,3799,0.002012842334806919
0.002008700743317604,0.9239000082015991,0.07610002905130386,20,3989,
,,,20,3989,0.00201118434779346
0.0020071829203516245,0.9230073690414429,0.0769924595952034,21,4179,
,,,21,4179,0.0020117575768381357
0.002007801318541169,0.9177594184875488,0.08224040269851685,22,4369,
,,,22,4369,0.0020122798159718513
0.0020072292536497116,0.9221540093421936,0.07784611731767654,23,4559,
,,,23,4559,0.0020115592051297426
0.0020079489331692457,0.9249281883239746,0.0750717744231224,24,4749,
,,,24,4749,0.0020109720062464476
0.002020050771534443,0.9155964255332947,0.0844036191701889,25,4939,
,,,25,4939,0.0020121473353356123
0.002009548246860504,0.9186326265335083,0.0813673883676529,26,5129,
,,,26,5129,0.0020119647961109877
0.002008006675168872,0.9150046706199646,0.084995336830616,27,5319,
,,,27,5319,0.0020119098480790854
0.002008817158639431,0.9159359931945801,0.08406411111354828,28,5509,
,,,28,5509,0.002013100078329444
0.0020143601577728987,0.9171872735023499,0.08281274884939194,29,5699,
,,,29,5699,0.002017395803704858
0.0020091733895242214,0.9232015013694763,0.0767984613776207,30,5889,
,,,30,5889,0.0020142565481364727
0.0020084702409803867,0.9213681817054749,0.07863184809684753,31,6079,
,,,31,6079,0.0020115829538553953
0.0020134246442466974,0.9151211380958557,0.08487893640995026,32,6269,
,,,32,6269,0.0020141215063631535
0.0020078427623957396,0.9226776957511902,0.07732228189706802,33,6459,
,,,33,6459,0.0020122681744396687
0.002014970174059272,0.9259176254272461,0.07408232986927032,34,6649,
,,,34,6649,0.0020111771300435066
0.0020100080873817205,0.9179825782775879,0.08201730251312256,35,6839,
,,,35,6839,0.0020119596738368273
0.0020088276360183954,0.9157127737998962,0.08428721874952316,36,7029,
,,,36,7029,0.00201094476506114
0.0020120455883443356,0.9189527034759521,0.08104725927114487,37,7219,
,,,37,7219,0.002011912642046809
0.0020070048049092293,0.9251318573951721,0.07486806809902191,38,7409,
,,,38,7409,0.002011463511735201
0.0020078555680811405,0.9166149497032166,0.08338508009910583,39,7599,
,,,39,7599,0.00201165652833879
0.0020088294986635447,0.918118417263031,0.08188149333000183,40,7789,
,,,40,7789,0.002011338248848915
0.0020062157418578863,0.9199615120887756,0.0800384134054184,41,7979,
,,,41,7979,0.00201110215857625
0.0020103317219763994,0.9241815209388733,0.075818732380867,42,8169,
,,,42,8169,0.0020105254370719194
0.0020075635984539986,0.9181670546531677,0.08183299750089645,43,8359,
,,,43,8359,0.002012173179537058
0.0020068343728780746,0.9214168190956116,0.07858335971832275,44,8549,
,,,44,8549,0.002010346157476306
0.0020066953729838133,0.9241908192634583,0.07580900937318802,45,8739,
,,,45,8739,0.0020108127500861883
0.0020082597620785236,0.9191079139709473,0.08089205622673035,46,8929,
,,,46,8929,0.002009569201618433
0.002006301423534751,0.9223770499229431,0.07762300223112106,47,9119,
,,,47,9119,0.0020096697844564915
0.0020072830375283957,0.9249184131622314,0.0750814825296402,48,9309,
,,,48,9309,0.002011603210121393
0.0020092276390641928,0.912356436252594,0.0876435860991478,49,9499,
,,,49,9499,0.002010014373809099
