val_loss,val_accuracy,hamming_dist,epoch,step,train_loss
0.00020601661526598036,0.8813440203666687,0.11865589767694473,0,189,
,,,0,189,0.0002709058462642133
0.00020222969760652632,0.8825662732124329,0.11743362993001938,1,379,
,,,1,379,0.00020431597658898681
0.00020447657152544707,0.8825567364692688,0.11744335293769836,2,569,
,,,2,569,0.00019878472085110843
0.00021022232249379158,0.8836624622344971,0.11633748561143875,3,759,
,,,3,759,0.0001950221776496619
0.0002537120599299669,0.8764259815216064,0.12357404828071594,4,949,
,,,4,949,0.00019222630362492055
0.00020254356786608696,0.8878337144851685,0.11216630041599274,5,1139,
,,,5,1139,0.00018944755720440298
