val_loss,val_accuracy,hamming_dist,epoch,step,train_loss
0.00022382906172424555,0.8828281760215759,0.1171717569231987,0,189,
,,,0,189,0.0002575494290795177
0.00019908050308004022,0.8837888240814209,0.11621139198541641,1,379,
,,,1,379,0.0001995100756175816
0.00022700853878632188,0.8842737078666687,0.11572635173797607,2,569,
,,,2,569,0.00019433943089097738
0.00018505593470763415,0.8888620138168335,0.11113806813955307,3,759,
,,,3,759,0.00019139044161420316
0.00020424109243322164,0.8856416344642639,0.1143585816025734,4,949,
,,,4,949,0.00018936455307994038
0.00018187578825745732,0.8923248648643494,0.10767500102519989,5,1139,
,,,5,1139,0.000187265410204418
0.00018606580852065235,0.8902976512908936,0.10970237106084824,6,1329,
,,,6,1329,0.0001872605353128165
0.0001845867227530107,0.887183666229248,0.1128162369132042,7,1519,
,,,7,1519,0.00018472607189323753
0.00021334744815248996,0.8829155564308167,0.11708443611860275,8,1709,
,,,8,1709,0.00018487407942302525
0.0001792911789380014,0.8901426196098328,0.10985756665468216,9,1899,
,,,9,1899,0.00018407370953354985
0.0001994849881157279,0.8880665898323059,0.11193351447582245,10,2089,
,,,10,2089,0.00018485462351236492
0.0001787073415471241,0.8946822285652161,0.10531779378652573,11,2279,
,,,11,2279,0.00018204031221102923
0.00017951893096324056,0.8925094604492188,0.10749068856239319,12,2469,
,,,12,2469,0.00018081915914081037
0.0001761677413014695,0.8967968225479126,0.10320307314395905,13,2659,
,,,13,2659,0.0001781683531589806
0.00017828348791226745,0.9011232256889343,0.09887669235467911,14,2849,
,,,14,2849,0.00017863145330920815
0.00017739087343215942,0.8926354050636292,0.10736457258462906,15,3039,
,,,15,3039,0.00017744491924531758
0.00017418096831534058,0.892315149307251,0.10768470913171768,16,3229,
,,,16,3229,0.00017593811207916588
0.00018460415594745427,0.9015110731124878,0.09848866611719131,17,3419,
,,,17,3419,0.00017582987493369728
0.00017147108155768365,0.9115707874298096,0.088429294526577,18,3609,
,,,18,3609,0.00017457427748013288
0.00017316450248472393,0.8958268165588379,0.10417315363883972,19,3799,
,,,19,3799,0.0001743324100971222
0.00016948675329331309,0.9112310409545898,0.08876881748437881,20,3989,
,,,20,3989,0.00017108509200625122
0.00017252317047677934,0.8932949900627136,0.1067049503326416,21,4179,
,,,21,4179,0.00016979761130642146
0.00022175964841153473,0.8917332887649536,0.10826671123504639,22,4369,
,,,22,4369,0.00017065144493244588
0.00017783735529519618,0.9099896550178528,0.09001048654317856,23,4559,
,,,23,4559,0.00016986644186545163
0.0001739526924211532,0.9080106616020203,0.09198938310146332,24,4749,
,,,24,4749,0.00016819406300783157
0.00018583911878522485,0.9007352590560913,0.0992647111415863,25,4939,
,,,25,4939,0.00016683900321368128
0.0001765498163877055,0.908951461315155,0.09104841947555542,26,5129,
,,,26,5129,0.00016703747678548098
0.00018265497055836022,0.906216025352478,0.09378395974636078,27,5319,
,,,27,5319,0.00016584541299380362
0.00017437225324101746,0.9043536186218262,0.0956464409828186,28,5509,
,,,28,5509,0.0001660437264945358
0.0001822799677029252,0.8904139399528503,0.1095859631896019,29,5699,
,,,29,5699,0.0001626993907848373
0.00016135434270836413,0.9132972359657288,0.08670260012149811,30,5889,
,,,30,5889,0.00016010085528250784
0.00017232864047400653,0.9040820598602295,0.09591802954673767,31,6079,
,,,31,6079,0.00015724432887509465
0.00016136541671585292,0.918865442276001,0.08113455027341843,32,6269,
,,,32,6269,0.00015601849008817226
0.00017405672406312078,0.8993287682533264,0.10067127645015717,33,6459,
,,,33,6459,0.00015336221258621663
0.00016919919289648533,0.8984072804450989,0.10159281641244888,34,6649,
,,,34,6649,0.0001531094458186999
0.00016038160538300872,0.899387001991272,0.10061309486627579,35,6839,
,,,35,6839,0.00014995259698480368
0.00015972278197295964,0.9088642001152039,0.09113572537899017,36,7029,
,,,36,7029,0.00014828777057118714
0.00015761354006826878,0.9163625836372375,0.08363727480173111,37,7219,
,,,37,7219,0.0001456657046219334
0.0001749726798152551,0.9146747589111328,0.08532515913248062,38,7409,
,,,38,7409,0.00014205773186404258
0.00016894136206246912,0.9016762375831604,0.0983237624168396,39,7599,
,,,39,7599,0.00014164029562380165
0.00016126068658195436,0.8996970653533936,0.10030264407396317,40,7789,
,,,40,7789,0.00013635479263029993
0.00020752560521941632,0.8834393620491028,0.11656057834625244,41,7979,
,,,41,7979,0.00013340740406420082
0.00015811959747225046,0.9054011702537537,0.09459879249334335,42,8169,
,,,42,8169,0.00013801196473650634
0.00016152886382769793,0.913714587688446,0.08628552407026291,43,8359,
,,,43,8359,0.00013108071289025247
0.00015981045726221055,0.9083017110824585,0.09169837832450867,44,8549,
,,,44,8549,0.00012840426643379033
0.0001651218335609883,0.9068368673324585,0.09316311031579971,45,8739,
,,,45,8739,0.0001338641595793888
0.00017433988978154957,0.9055079817771912,0.09449209272861481,46,8929,
,,,46,8929,0.00013071981084067374
0.00017337058670818806,0.9268585443496704,0.07314138859510422,47,9119,
,,,47,9119,0.00012576099834404886
0.00015202771464828402,0.9238806366920471,0.07611943036317825,48,9309,
,,,48,9309,0.0001236369280377403
0.0001514279720140621,0.9184967875480652,0.08150319010019302,49,9499,
,,,49,9499,0.0001242371799889952
